en	te
The door must not be left open.	తలుపు తెరిచి ఉంచకూడదు.
Tom is our foster son.	టామ్ మా పెంపుడు కొడుకు.
I haven't talked to Tom in a very long time.	నేను టామ్‌తో చాలా కాలం మాట్లాడలేదు.
Tom is 13, but he still believes in Santa.	టామ్ వయసు 13, కానీ అతను ఇప్పటికీ శాంటాను నమ్ముతాడు.
Has Tom cleaned his room yet?	టామ్ తన గదిని ఇంకా శుభ్రం చేశాడా?
I warned Tom not to come here.	టామ్‌ను ఇక్కడికి రానివ్వమని హెచ్చరించాను.
The temple is one of the oldest and most prominent temples in Nellore.	ఈ ఆలయం నెల్లూరులోని పురాతన మరియు ప్రముఖ దేవాలయాలలో ఒకటి.
I don't like being treated like a child.	నేను చిన్నపిల్లలా వ్యవహరించడం ఇష్టం లేదు.
Was that Tom you were just talking to?	ఆ టామ్ మీరు ఇప్పుడే మాట్లాడుతున్నారా?
I'm very glad that I didn't do that.	నేను అలా చేయనందుకు చాలా సంతోషంగా ఉంది.
I suppose you'll be studying all day tomorrow.	మీరు రేపు రోజంతా చదువుతారని అనుకుందాం.
I was really depressed.	నేను నిజంగా నిరాశకు గురయ్యాను.
i am going to sleep	నేను నిద్రించటానికి వెళుతున్నాను
Tom married a girl much younger than himself.	టామ్ తనకన్నా చాలా చిన్న అమ్మాయిని వివాహం చేసుకున్నాడు.
Tom cut off Mary's head.	టామ్ మేరీ తల కత్తిరించాడు.
Do you have a piano?	మీకు పియానో ఉందా?
I'm not going to sing.	నేను పాడటానికి వెళ్ళడం లేదు.
I have an excuse.	నాకు ఒక అవసరం లేదు.
The police went over every inch of this place.	పోలీసులు ఈ స్థలం యొక్క ప్రతి అంగుళం మీదుగా వెళ్లారు.
The waiter came over to take away Tom's empty plate.	టామ్ యొక్క ఖాళీ ప్లేట్ తీసివేయడానికి వెయిటర్ వచ్చాడు.
Here are your wages for the last month.	గత నెలలో మీ వేతనాలు ఇక్కడ ఉన్నాయి.
I ran to school.	నేను బడికి పరిగెత్తాను.
I admit, I'm not the tidiest person in the world.	నేను అంగీకరిస్తున్నాను, నేను ప్రపంచంలో చక్కని వ్యక్తిని కాదు.
We know what to expect.	ఏమి ఆశించాలో మాకు తెలుసు.
Tom knew that Mary was awake.	మేరీ మేల్కొని ఉన్నాడని టామ్ కి తెలుసు.
Tom noticed Mary was there.	మేరీ అక్కడ ఉన్నట్లు టామ్ గమనించాడు.
We were supposed to tell everyone to leave.	మేము ప్రతి ఒక్కరినీ వదిలి వెళ్ళమని చెప్పాల్సి ఉంది.
He can touch his nose with his tongue.	అతను తన నాలుకతో ముక్కును తాకగలడు.
It's not too hard.	ఇది చాలా కష్టం కాదు.
Tom wanted me to drive.	టామ్ నన్ను డ్రైవ్ చేయాలనుకున్నాడు.
There was a bridge across each river.	ప్రతి నదికి ఒక వంతెన ఉండేది.
Tom is the youngest of my three children.	టామ్ నా ముగ్గురు పిల్లలలో చిన్నవాడు.
The librarian looked quite sick.	లైబ్రేరియన్ చాలా అనారోగ్యంగా కనిపించాడు.
I don't really want to go fishing with Tom.	నేను నిజంగా టామ్‌తో చేపలు పట్టడానికి ఇష్టపడను.
Here's where they usually have dinner.	ఇక్కడ వారు సాధారణంగా విందు చేస్తారు.
Tom pointed to his chest.	టామ్ అతని ఛాతీ వైపు చూపించాడు.
Tom isn't a bus driver, is he?	టామ్ బస్సు డ్రైవర్ కాదు, అవునా?
